id,illnessName,instGovernedBy,isTypeOf,relatedTo,subRelatedTo
21,Cancer--Living with Cancer,National Cancer Institute,Cancers,Cancer--Living with Cancer,"[u'Cardiopulmonary Syndrome Overview', u'Chemo Brain', u'Chemotherapy Effects', u'Delirium (PDQ)', u'Depression (PDQ)', u'Diarrhea: Cancer-Related Causes and How to Cope', u'Fatigue (PDQ)', u'Gastrointestinal Complications (PDQ)', u'Hot Flashes amd Night Sweats (PDQ)', u'How Will Cancer Affect My Sex Life?', u'Low Blood Cell Counts: Side Effect of Cancer Treatment', u'Lymphedema (PDQ)', u'Mouth Sores', u'Nausea and Vomiting (PDQ)', u'Pain (PDQ)', u'Pain Control: Support for People with Cancer', u'Post-Traumatic Stress Disorder (PDQ)', u'Pruritus (PDQ)', u'Side Effects (Management)', u'Sleep Disorders (PDQ)', u'Three Good Reasons to See a Dentist Before Cancer Treatment (Pictographs)', u'Bleeding during cancer treatment', u'Cancer treatment: dealing with hot flashes and night sweats', u'Cancer treatment: dealing with pain', u'Cancer treatment: fertility and sexual side effects in women', u'Coping with cancer -- finding the support you need', u'Coping with cancer -- hair loss', u'Coping with cancer -- looking and feeling your best', u'Coping with cancer -- managing fatigue', u'Dealing with chronic cancer', u'Dry mouth during cancer treatment', u'Lactic acidosis', u'Returning to work after cancer: know your rights', u'Safe drinking during cancer treatment', u'Safe eating during cancer treatment', u'Working during cancer treatment', u'Your cancer survivorship care plan', u'Cancer', u'Cancer Chemotherapy', u'Palliative Care']"
22,Carcinoid Tumors,National Cancer Institute,Cancers,Carcinoid Tumors,"[u'Carcinoid Syndrome', u'Carcinoid Tumor: Frequently Asked Questions', u'5-HIAA', u'Carcinoid syndrome', u'Serum serotonin level']"
23,Cervical Cancer,National Cancer Institute,Cancers,Cervical Cancer,"[u'After chemotherapy - discharge', u'Cervical cancer', u'Cervical cancer -- screening and prevention', u'Cervical dysplasia', u'Cervical dysplasia  - slideshow', u'Cervix treatment - cryosurgery', u'Cold knife cone biopsy', u'Colposcopy - directed biopsy', u'Pelvic (between the hips) radiation - discharge', u'Pelvic CT scan', u'Pelvis MRI scan', u'Cervical Cancer Screening', u'Cervix Disorders', u""Women's Health Checkup""]"
24,Cervical Cancer Screening,National Cancer Institute,Cancers,Cervical Cancer Screening,"[u'Abnormal Cervical Cancer Screening Test Results', u'How to Interpret Abnormal Pap Smear Results', u'HPV Test', u'Pap and HPV Testing', u'Pap Smear', u'Screening for Cervical Cancer', u'Colposcopy - directed biopsy', u'HPV DNA test', u'Cervical Cancer', u'HPV', u""Women's Health Checkup""]"
25,Childhood Brain Tumors,National Cancer Institute,Cancers,Childhood Brain Tumors,"[u'Choroid Plexus', u'Medulloblastoma -- Childhood', u'After chemotherapy - discharge', u'Brain surgery', u'Brain surgery - discharge', u'Brain tumor - children', u'Craniotomy  - slideshow', u'Eating extra calories when you are sick - children', u'Head MRI', u'Stereotactic radiosurgery - discharge', u'Brain Tumors', u'Cancer in Children']"
26,Childhood Leukemia,National Cancer Institute,Cancers,Childhood Leukemia,"[u'Acute Lymphoblastic Leukemia (ALL) (For Parents)', u'Acute Myeloid Leukemia (AML) (For Parents)', u'Chronic Myelogenous Leukemia (CML) (For Parents)', u'Juvenile Myelomonocytic Leukemia (JMML) (For Parents)', u'Acute lymphocytic leukemia (ALL)', u'Acute myelogenous leukemia (AML) -- children', u'After chemotherapy - discharge', u'B and T cell screen', u'Bone marrow biopsy', u'Bone marrow transplant', u'Bone marrow transplant - discharge', u'Bone-marrow transplant  - slideshow', u'Chronic myelogenous leukemia (CML)', u'Cryoglobulins', u'Eating extra calories when you are sick - children', u'Fibrinopeptide A blood test', u'Leukemia', u'T-cell count', u'Acute Lymphocytic Leukemia', u'Acute Myeloid Leukemia', u'Chronic Lymphocytic Leukemia', u'Chronic Myeloid Leukemia', u'Leukemia']"
27,Chronic Granulocytic Leukemia,National Cancer Institute,Cancers,Chronic Myeloid Leukemia,"[u'Atypical Chronic Myelogenous Leukemia', u'What Should You Ask Your Doctor about Chronic Myeloid Leukemia?', u'After chemotherapy - discharge', u'Bone marrow biopsy', u'Bone marrow transplant', u'Bone marrow transplant - discharge', u'Bone-marrow transplant  - slideshow', u'Chronic myelogenous leukemia (CML)', u'Cryoglobulins', u'Fibrinopeptide A blood test', u'Acute Lymphocytic Leukemia', u'Acute Myeloid Leukemia', u'Childhood Leukemia', u'Chronic Lymphocytic Leukemia', u'Leukemia']"
28,Chronic Lymphocytic Leukemia,National Cancer Institute,Cancers,Chronic Lymphocytic Leukemia,"[u'Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL)', u'Leukemia - B-Cell Prolymphocytic Leukemia and Hairy Cell Leukemia', u'Leukemia -- Chronic T-Cell Lymphocytic', u'After chemotherapy - discharge', u'B and T cell screen', u'B-cell leukemia/lymphoma panel', u'Bone marrow biopsy', u'Bone marrow transplant', u'Bone marrow transplant - discharge', u'Bone-marrow transplant  - slideshow', u'Chronic lymphocytic leukemia (CLL)', u'Cryoglobulins', u'Fibrinopeptide A blood test', u'Immunoelectrophoresis - blood', u'Acute Lymphocytic Leukemia', u'Acute Myeloid Leukemia', u'Childhood Leukemia', u'Chronic Myeloid Leukemia', u'Leukemia']"
29,Colon Cancer,National Cancer Institute,Cancers,Colorectal Cancer,"[u'Appendix Cancer', u'Abdominal CT scan', u'Abdominal exploration', u'Abdominal exploration  - slideshow', u'Abdominal radiation - discharge', u'After chemotherapy - discharge', u'Barium enema', u'Bloody or tarry stools', u'Colon cancer', u'Colon cancer - slideshow', u'Colon cancer screening', u'Colonoscopy', u'Colostomy  - slideshow', u'Fecal immunochemical test (FIT)', u'Flushable reagent stool blood test', u'Large bowel resection', u'Large bowel resection  - slideshow', u'Large bowel resection - discharge', u'Pelvic (between the hips) radiation - discharge', u'Pelvic CT scan', u'Pelvis MRI scan', u'Radiation enteritis', u'Stool guaiac test', u'Total abdominal colectomy', u'Total colectomy or proctocolectomy - discharge', u'Total proctocolectomy with ileostomy', u'Understanding your colon cancer risk', u'Virtual colonoscopy', u'Colonic Diseases', u'Colonic Polyps', u'Colonoscopy', u'Rectal Disorders']"
30,Colonic Polyps,National Institute of Diabetes and Digestive and Kidney Diseases,Cancers,Colonic Polyps,"[u'Barium enema', u'Biopsy - polyps', u'Colonoscopy', u'Colorectal polyps', u'Large bowel resection', u'Large bowel resection  - slideshow', u'Large bowel resection - discharge', u'Peutz-Jeghers syndrome', u'Total proctocolectomy and ileal - anal pouch', u'Total proctocolectomy with ileostomy', u'Virtual colonoscopy', u'Colonic Diseases', u'Colorectal Cancer']"
31,Endometrial Cancer,National Cancer Institute,Cancers,Uterine Cancer,"[u'General Information About Endometrial Cancer', u'General Information About Uterine Sarcoma', u'What Is Uterine Sarcoma?', u'Abdominal radiation - discharge', u'Choriocarcinoma', u'D and C', u'D and C - slideshow', u'Endometrial biopsy', u'Endometrial cancer', u'Pelvic (between the hips) radiation - discharge', u'Pelvis MRI scan', u'Radiation enteritis', u'Uterine sarcoma', u'Cervical Cancer', u'Hysterectomy', u'Uterine Diseases', u""Women's Health Checkup""]"
32,Esophageal Cancer,National Cancer Institute,Cancers,Esophageal Cancer,"[u'After chemotherapy - discharge', u'Coughing up blood', u'Diet and eating after esophagectomy', u'Esophageal cancer', u'Esophagectomy - discharge', u'Esophagectomy - minimally invasive', u'Esophagectomy - open', u'Swallowing problems', u'Esophagus Disorders']"
33,Eye Cancer,National Cancer Institute,Cancers,Eye Cancer,"[u'Cancers Affecting the Retina', u'After chemotherapy - discharge', u'Lacrimal gland tumor', u'Melanoma of the eye', u'Retinoblastoma', u'Eye Diseases', u'Eyelid Disorders']"
34,Gallbladder Cancer,National Cancer Institute,Cancers,Gallbladder Cancer,"[u'Abdominal MRI', u'After chemotherapy - discharge', u'Bile Duct Cancer', u'Gallbladder Diseases']"
35,Gastric Cancer,National Cancer Institute,Cancers,Stomach Cancer,"[u'Abdominal radiation - discharge', u'After chemotherapy - discharge', u'Gastrectomy', u'Gastrectomy  - slideshow', u'Gastric tissue biopsy and culture', u'Radiation enteritis', u'Stomach cancer', u'Stomach Disorders']"
36,Gastrointestinal Stromal Tumors,National Cancer Institute,Cancers,Intestinal Cancer,"[u'Abdominal radiation - discharge', u'After chemotherapy - discharge', u'Enteroclysis', u'Enteroscopy', u'Intestinal leiomyoma', u'Radiation enteritis', u'Small bowel resection', u'Small bowel resection  - slideshow', u'Small bowel resection - discharge', u'Carcinoid Tumors', u'Colorectal Cancer', u'Soft Tissue Sarcoma', u'Stomach Cancer']"
37,Hairy Cell Leukemia,National Cancer Institute,Cancers,Leukemia,"[u'Adult T-Cell Leukemia/Lymphoma (HTLV-1)', u'General Information About Hairy Cell Leukemia', u'Leukemia -- Eosinophilic', u'What Is Chronic Myelomonocytic Leukemia?', u'After chemotherapy - discharge', u'B and T cell screen', u'B-cell leukemia/lymphoma panel', u'Bone marrow biopsy', u'Bone marrow transplant', u'Bone marrow transplant - discharge', u'Bone-marrow transplant  - slideshow', u'Cryoglobulins', u'Fibrinopeptide A blood test', u'Hairy cell leukemia', u'Leukemia', u'T-cell count', u'Acute Lymphocytic Leukemia', u'Acute Myeloid Leukemia', u'Childhood Leukemia', u'Chronic Lymphocytic Leukemia', u'Chronic Myeloid Leukemia']"
38,Head and Neck Cancer,National Cancer Institute,Cancers,Head and Neck Cancer,"[u'Adenoid Cystic Carcinoma', u'General Information about Metastatic Squamous Neck Cancer with Occult Primary', u'Laryngeal (Voice Box) Cancer', u'After chemotherapy - discharge', u'Glomus jugulare tumor', u'Head CT scan', u'Mouth and neck radiation - discharge', u'Neck dissection', u'Neck dissection - discharge', u'Swallowing problems', u'Esophageal Cancer', u'Eye Cancer', u'Nasal Cancer', u'Oral Cancer', u'Parathyroid Disorders', u'Salivary Gland Cancer', u'Throat Cancer', u'Thyroid Cancer']"
39,Hepatoblastoma,National Cancer Institute,Cancers,Liver Cancer,"[u""5'-nucleotidase"", u'Abdominal CT scan', u'Abdominal exploration', u'Abdominal exploration  - slideshow', u'Abdominal MRI', u'Abdominal tap', u'After chemotherapy - discharge', u'Alpha fetoprotein', u'Biopsy - biliary tract', u'Gamma-glutamyl transpeptidase (GGT) blood test', u'Hepatocellular carcinoma', u'Liver biopsy', u'Liver metastases', u'Liver Diseases']"
40,Hodgkin Disease,National Cancer Institute,Cancers,Hodgkin Disease,"[u'Bone marrow biopsy', u'Chest radiation - discharge', u'Ferritin blood test', u'Hodgkin lymphoma', u'Hodgkin lymphoma - children', u'Mediastinoscopy with biopsy', u'T-cell count', u'Lymphoma']"
41,Hypernephroma,National Cancer Institute,Cancers,Kidney Cancer,"[u'Abdominal CT scan', u'Abdominal MRI', u'After chemotherapy - discharge', u'Cancer - renal pelvis or ureter', u'Cytology exam of urine', u'Hemoglobinuria test', u'Intravenous pyelogram', u'Kidney removal', u'Kidney removal  - slideshow', u'Kidney removal - discharge', u'Pelvis MRI scan', u'RBC urine test', u'Renal arteriography', u'Renal cell carcinoma', u'Renal scan', u'Renal venogram', u'Ureteral retrograde brush biopsy', u'Urine - bloody', u'Kidney Diseases', u'Kidney Tests', u'Wilms Tumor']"
42,Hypopharyngeal Cancer,National Cancer Institute,Cancers,Throat Cancer,"[u'General Information about Hypopharyngeal Cancer', u'General Information about Laryngeal Cancer', u'General Information about Nasopharyngeal Cancer', u'General Information about Oropharyngeal Cancer', u'Human Papillomavirus (HPV) and Oropharyngeal Cancer', u'Cancer of the throat or larynx', u'Laryngectomy', u'Oropharynx lesion biopsy', u'Swallowing problems', u'Throat or larynx cancer', u'Head and Neck Cancer', u'Oral Cancer', u'Throat Disorders']"
43,Islet Cell Carcinoma,National Cancer Institute,Cancers,Pancreatic Cancer,"[u'General Information about Pancreatic Neuroendocrine Tumors (Islet Cell Tumors)', u'Pancreatic Exocrine Tumors', u'Pancreatic Neuroendocrine Tumors (PNETs)', u'Zollinger-Ellison Syndrome', u'Abdominal CT scan', u'Abdominal exploration', u'Abdominal exploration  - slideshow', u'Abdominal MRI', u'After chemotherapy - discharge', u'Amylase - urine', u'Biopsy - biliary tract', u'Fecal fat', u'Gastrin blood test', u'Glucagonoma', u'Insulinoma', u'Lipase test', u'Pancreatic cancer', u'Pancreatic islet cell tumor', u'Secretin stimulation test', u'Surgery for pancreatic cancer', u'Surgery for pancreatic cancer -- discharge', u'Trypsinogen test', u'Vasoactive intestinal peptide test', u'VIPoma', u'Zollinger-Ellison syndrome', u'Pancreatic Diseases']"
44,Kaposi's Sarcoma,National Cancer Institute,Cancers,Kaposi's Sarcoma,"[u'Classic Kaposi Sarcoma', u'Epidemic Kaposi Sarcoma', u'Immunosuppressive Therapy-Related Kaposi Sarcoma', u'After chemotherapy - discharge', u'Kaposi sarcoma', u'HIV/AIDS']"
